,property_id,property_type,region,transction_date_1,price_1,transaction_date_2,price_2,date_diff
0,100260,Single Family Dwelling,Capital,2023-01-25,1170733.35,2023-02-04,1172434.01,10
1,100260,Single Family Dwelling,Capital,2027-04-02,1461455.99,2027-04-11,1463366.53,9
2,101504,Townhouse,Metro Vancouver,2028-04-30,2218072.85,2028-05-29,2233143.12,29
3,104503,Townhouse,Metro Vancouver,2024-10-18,992524.99,2024-10-21,993101.47,3
4,109727,Townhouse,Metro Vancouver,2028-09-11,1077633.25,2028-10-01,1082542.37,20
5,110355,Townhouse,Metro Vancouver,2021-01-17,1320517.42,2021-01-28,1322932.73,11
6,111228,Single Family Dwelling,Capital,2027-06-04,935657.02,2027-07-01,938702.87,27
7,113172,Condo,Metro Vancouver,2026-08-03,1203017.05,2026-08-03,1203017.05,0
8,115435,Townhouse,Metro Vancouver,2022-11-27,1863759.08,2022-12-19,1872195.17,22
9,117923,Single Family Dwelling,Cappital,2020-06-17,520663.73,2020-07-12,522948.34,25
10,120672,Townhouse,Thompson-Nicola,2026-05-13,1259304.04,2026-05-25,1262756.63,12
11,125319,Townhouse,Metro Vancouver,2022-07-26,907128.94,2022-08-10,908903.63,15
12,127147,Single Family Dwelling,Cappital,2026-12-29,1136606.91,2027-01-12,1138604.75,14
13,127228,Townhouse,Metro Vancouver,2027-11-11,2854515.05,2027-12-05,2866653.16,24
14,128469,Condo,Metro Vancouver,2026-11-15,1269914.38,2026-11-18,1270206.14,3
15,138004,Townhouse,Metro Vancouver,2026-07-17,806507.07,2026-08-06,807554.42,20
16,138398,Condo,Metro Vancouver,2024-07-09,1254371.02,2024-08-01,1257810.99,23
17,142165,Single Family Dwelling,Metro Vancouver,2029-01-11,1595142.75,2029-01-25,1597816.4,14
18,146800,Townhouse,Metro Vancouver,2023-10-17,1510081.76,2023-10-28,1513264.06,11
19,146912,Condo,Fraser Valley,2022-03-16,753122.12,2022-04-09,755674.25,24
20,150267,Condo,Nanaimo,2023-06-23,529482.14,2023-07-20,531726.91,27
21,150511,Condo,Capital,2026-10-28,742971.3,2026-11-06,744476.45,9
22,150803,Townhouse,Nanaimo,2028-07-06,635399.0,2028-07-27,636059.69,21
23,158130,Condo,Metro Vancouver,2028-05-17,1429266.85,2028-05-19,1429814.99,2
24,159448,Single Family Dwelling,Capital,2029-05-12,2254257.52,2029-06-08,2265235.53,27
25,161478,Condo,Capital,2021-04-01,582924.11,2021-04-12,583380.14,11
26,161902,Condo,Fraser Valley,2028-05-01,1246968.9,2028-05-27,1252866.53,26
27,162628,Single Family Dwelling,Central Okanagan,2023-10-30,673953.96,2023-11-16,675556.34,17
28,163844,Townhouse,Metro Vancouver,2028-09-24,1766100.1,2028-10-04,1768964.2,10
29,165088,Condo,Thompson-Nicola,2023-04-29,363926.99,2023-05-12,364431.89,13
30,165217,Condo,Metro Vancouver,2025-04-26,1215723.24,2025-04-27,1215953.4,1
31,166013,Single Family Dwelling,Metro Vancouver,2022-04-10,1330898.58,2022-04-11,1331093.35,1
32,168452,Townhouse,Metro Vancouver,2029-09-09,2378710.54,2029-09-28,2386838.2,19
33,168608,Single Family Dwelling,Metro Vancouver,2026-02-06,1922816.26,2026-02-16,1924787.23,10
34,179171,Condo,Nanaimo,2029-04-01,1170866.23,2029-04-08,1172327.94,7
35,180761,Single Family Dwelling,Cappital,2022-09-06,696359.52,2022-09-16,697524.81,10
36,180982,Single Family Dwelling,Capital,2026-04-15,1840927.54,2026-04-22,1842919.55,7
37,182954,Single Family Dwelling,Central Okanagan,2027-05-14,1041030.14,2027-06-06,1047440.82,23
